Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a09da70f99dc411697d7ae,58189c1f883c8800010ee630,APPROVED,2024-01-12T02:02:34.916000Z,2024-01-12T02:06:31.797000Z,2024-01-12T13:14:59.365000Z,2024-01-12T02:06:32.286031Z,237.0,C72EX8CS,669,English,English,I only know English,none just my native langauge,51,Female,Black,United States,United States,United States,English,No,Full-Time
65a09da86451f41271c3448b,5c7a4ca80b94ca00164122a1,APPROVED,2024-01-12T02:02:25.471000Z,2024-01-12T02:05:32.062000Z,2024-01-12T13:14:59.534000Z,2024-01-12T02:05:32.517350Z,187.0,C72EX8CS,1212,English,English,I only know English,none just my native langauge,49,Male,White,United States,United States,United States,English,No,Part-Time
65a09dac7b9063ef914136d7,61008ab408e5d1853e899385,APPROVED,2024-01-12T02:02:24.734000Z,2024-01-12T02:04:42.083000Z,2024-01-12T13:14:59.700000Z,2024-01-12T02:04:42.519169Z,138.0,C72EX8CS,647,English,English,I only know English,none just my native langauge,22,Female,Asian,United States,United States,United States,English,Yes,Part-Time
65a09daf277118eefd0f5545,6094a41f36a19091aa12d460,APPROVED,2024-01-12T02:02:26.953000Z,2024-01-12T02:06:08.866000Z,2024-01-12T13:14:59.862000Z,2024-01-12T02:06:09.307577Z,222.0,NOCODE,4245,English,English,I only know English,none just my native langauge,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09dc6e7bb05ef1c8dc058,614fe10cc5f880c122bacc6d,APPROVED,2024-01-12T02:02:50.618000Z,2024-01-12T02:05:50.229000Z,2024-01-12T13:15:00.041000Z,2024-01-12T02:05:50.672053Z,180.0,C72EX8CS,301,English,English,I only know English,none just my native langauge,46,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a09df6cb1340048e211b03,55cb9fb2fdf99b45b781b3cb,APPROVED,2024-01-12T02:03:40.830000Z,2024-01-12T02:06:11.726000Z,2024-01-12T13:15:00.231000Z,2024-01-12T02:06:12.176175Z,151.0,C72EX8CS,2334,English,English,I only know English,none just my native langauge,26,Female,White,United States,United States,United States,English,No,Full-Time
65a09df7461451c85ed508dd,62dea78824188316a2ee17b6,APPROVED,2024-01-12T02:03:41.545000Z,2024-01-12T02:12:52.673000Z,2024-01-12T13:15:00.411000Z,2024-01-12T02:12:53.072909Z,552.0,C72EX8CS,892,English,English,I only know English,none just my native langauge,26,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09dfafcd1e50633ac49ce,5ff3dd153986cc9fd8a6ba4f,RETURNED,2024-01-12T02:03:47.746000Z,,,2024-01-12T05:30:39.210441Z,,,3599,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a09dfd83112fdfea09c392,6466e970e564655f06b5f4a8,APPROVED,2024-01-12T02:03:47.855000Z,2024-01-12T02:08:00.377000Z,2024-01-12T13:15:00.607000Z,2024-01-12T02:08:00.797467Z,253.0,C72EX8CS,189,English,English,I only know English,none just my native langauge,61,Male,White,United States,United States,United States,English,No,Full-Time
65a09dfe54a913c61d776a58,630051de1dfc7f3ba6bb40cc,APPROVED,2024-01-12T02:03:47.852000Z,2024-01-12T02:05:50.349000Z,2024-01-12T13:15:00.779000Z,2024-01-12T02:05:50.840623Z,123.0,C72EX8CS,1814,English,English,I only know English,none just my native langauge,27,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65a09e0c6d1220a64a0f55a5,6110d63789fab4b8b5227509,REJECTED,2024-01-12T02:04:08.296000Z,2024-01-12T02:07:54.271000Z,2024-01-12T06:13:24.674000Z,2024-01-12T17:46:18.938210Z,226.0,C72EX8CS,16,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a09e4d83112fdfea09c3a0,5beddd59e4dbf300011c1d50,APPROVED,2024-01-12T02:05:05.889000Z,2024-01-12T02:08:02.019000Z,2024-01-12T13:15:00.949000Z,2024-01-12T02:08:02.432131Z,177.0,C72EX8CS,3333,"Dzongkha, English",English,I only know English,none just my native langauge,38,Male,White,United States,United States,United States,English,No,Part-Time
