Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Earliest language in life,English speaking monolingual,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65a0abe510105f4dafafc2ad,5ea98c900640c90a3db307ff,APPROVED,2024-01-12T03:03:10.708000Z,2024-01-12T03:07:14.200000Z,2024-01-12T13:15:09.874000Z,2024-01-12T03:07:14.611094Z,244.0,NOCODE,1203,English,English,I only know English,none just my native langauge,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65a0abe585d169d8295c0caf,5c8657fbb5bfcb00015af7ed,TIMED-OUT,2024-01-12T03:03:04.912000Z,,,2024-01-12T05:31:18.533265Z,8894.0,,731,English,English,I only know English,none just my native langauge,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0abfbf60c89cb87205157,5fcca7bf6a7182b003b32a36,APPROVED,2024-01-12T03:03:27.181000Z,2024-01-12T03:07:22.341000Z,2024-01-12T13:15:10.047000Z,2024-01-12T03:07:22.857155Z,236.0,NOCODE,2407,English,"Cantonese, English",I only know English,none just my native langauge,52,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0ac5e158e1166c55f6322,63d153292ab8a7e4066fb52a,RETURNED,2024-01-12T03:05:05.382000Z,,,2024-01-12T05:31:18.537281Z,,,644,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0ac7ae0a30daee58a7e67,62f108ab1d119c891d45ae6a,APPROVED,2024-01-12T03:05:44.191000Z,2024-01-12T03:08:15.569000Z,2024-01-12T13:15:10.253000Z,2024-01-12T03:08:16.028972Z,152.0,C72EX8CS,912,English,English,I only know English,none just my native langauge,39,Female,White,New Zealand,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65a0ac863e71fc9f72cdab7c,637e1d5ac58ad3caea4f3446,APPROVED,2024-01-12T03:05:46.659000Z,2024-01-12T03:07:41.638000Z,2024-01-12T13:15:10.478000Z,2024-01-12T03:07:42.077504Z,115.0,C72EX8CS,738,English,English,I only know English,none just my native langauge,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
65a0ac88fbe002ebe6cda78e,5afcbf18fabc8900018854d9,APPROVED,2024-01-12T03:05:49.031000Z,2024-01-12T03:09:04.153000Z,2024-01-12T13:15:10.664000Z,2024-01-12T03:09:04.566657Z,196.0,C72EX8CS,2705,English,English,I only know English,none just my native langauge,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0ac93b70cd6898be5dc54,56366e43dc62e50011cb4ca1,APPROVED,2024-01-12T03:06:46.690000Z,2024-01-12T03:10:16.035000Z,2024-01-12T13:15:10.838000Z,2024-01-12T03:10:16.463201Z,210.0,C72EX8CS,302,English,English,I only know English,none just my native langauge,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65a0acae54a913c61d776c1c,5d5c84ecd6940800014fa5fe,APPROVED,2024-01-12T03:06:26.173000Z,2024-01-12T03:10:21.820000Z,2024-01-12T13:15:11.010000Z,2024-01-12T03:10:22.281653Z,236.0,NOCODE,30,English,English,I only know English,none just my native langauge,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0accbc58774cde45ffcd9,656c8a77fd66d9bd07b57e25,APPROVED,2024-01-12T03:06:53.736000Z,2024-01-12T03:11:18.880000Z,2024-01-12T13:15:11.459000Z,2024-01-12T03:11:19.295711Z,266.0,NOCODE,76,English,English,I only know English,none just my native langauge,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65a0ace1d15130d9d4b38fa4,615b662945329f5669d9c33f,APPROVED,2024-01-12T03:07:38.818000Z,2024-01-12T03:10:21.089000Z,2024-01-12T13:15:11.651000Z,2024-01-12T03:10:21.453599Z,163.0,C72EX8CS,402,English,English,I only know English,none just my native langauge,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65a0ad156451f41271c34668,5b7535d184850400011a07b8,RETURNED,2024-01-12T03:08:10.335000Z,,,2024-01-12T05:31:18.535601Z,,,2433,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65a0ad1e395b2717c94c3f3f,57a6891d8eccbc0001f39f89,APPROVED,2024-01-12T03:08:27.709000Z,2024-01-12T03:10:58.974000Z,2024-01-12T13:15:11.828000Z,2024-01-12T03:10:59.372025Z,152.0,C72EX8CS,1732,English,English,I only know English,none just my native langauge,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
